model,dataset,data_dir,seed,train_percent,hidden,lr,weight_decay,epochs_trained,micro_f1,macro_f1,auc_roc_macro,ap,ap_micro
GCN,C40_h0.6_h0.6,data\synthetic\exp13_coverage_gaps\C40_h0.6_h0.6,0,0.6,256,0.01,0.0005,298,0.6572528883183568,0.33847405099394795,0.6797416410614748,0.34490760770870094,0.5638132810116234
GCN,C40_h0.6_h0.6,data\synthetic\exp13_coverage_gaps\C40_h0.6_h0.6,1,0.6,256,0.01,0.0005,230,0.6707003089598352,0.347289803195069,0.6726349319551705,0.3395648739627373,0.5848984200828619
GCN,C40_h0.6_h0.6,data\synthetic\exp13_coverage_gaps\C40_h0.6_h0.6,2,0.6,256,0.01,0.0005,170,0.6466942148760331,0.32506301167380725,0.6696834968892956,0.3341591183843927,0.5745838939441558
GCN,C40_h0.8_h0.8,data\synthetic\exp13_coverage_gaps\C40_h0.8_h0.8,0,0.6,256,0.01,0.0005,183,0.6569961489088575,0.33667216877112055,0.6781571249413071,0.3441243149686035,0.563339973730765
GCN,C40_h0.8_h0.8,data\synthetic\exp13_coverage_gaps\C40_h0.8_h0.8,1,0.6,256,0.01,0.0005,193,0.6707003089598352,0.34489431968959083,0.6723068824620353,0.3381737179053368,0.583598991559822
GCN,C40_h0.8_h0.8,data\synthetic\exp13_coverage_gaps\C40_h0.8_h0.8,2,0.6,256,0.01,0.0005,255,0.6464359504132231,0.32439651124019653,0.6705328992513127,0.337271668074513,0.5765928941597127
GCN,C60_h0.35_h0.35,data\synthetic\exp13_coverage_gaps\C60_h0.35_h0.35,0,0.6,256,0.01,0.0005,171,0.5871596911824462,0.23755113939001493,0.6123531159172355,0.2298175130472388,0.480978935378297
GCN,C60_h0.35_h0.35,data\synthetic\exp13_coverage_gaps\C60_h0.35_h0.35,1,0.6,256,0.01,0.0005,203,0.59147771696638,0.23677963937330732,0.6161355490846526,0.23593304363385662,0.4999818858071035
GCN,C60_h0.35_h0.35,data\synthetic\exp13_coverage_gaps\C60_h0.35_h0.35,2,0.6,256,0.01,0.0005,293,0.5831860145354547,0.23185090119834456,0.6099595405560375,0.2265952209123031,0.49124149901733105
GCN,F50_h0.2_h0.2,data\synthetic\exp13_coverage_gaps\F50_h0.2_h0.2,0,0.6,256,0.01,0.0005,212,0.2876712328767123,0.10631732724695708,0.7036407418035837,0.23356942965519772,0.3365519653344229
GCN,F50_h0.2_h0.2,data\synthetic\exp13_coverage_gaps\F50_h0.2_h0.2,1,0.6,256,0.01,0.0005,240,0.30595611285266455,0.11476099332966223,0.6932495383419969,0.2328253859893133,0.34377021871071634
GCN,F50_h0.2_h0.2,data\synthetic\exp13_coverage_gaps\F50_h0.2_h0.2,2,0.6,256,0.01,0.0005,226,0.3158544108574954,0.11701005003285096,0.6920595659019068,0.23540135863271489,0.3586310456813621
GCN,F50_h0.6_h0.6,data\synthetic\exp13_coverage_gaps\F50_h0.6_h0.6,0,0.6,256,0.01,0.0005,288,0.5544683626875407,0.41515801489399784,0.823915766498082,0.5065516942794915,0.5794060005661125
GCN,F50_h0.6_h0.6,data\synthetic\exp13_coverage_gaps\F50_h0.6_h0.6,1,0.6,256,0.01,0.0005,254,0.5366771159874608,0.37894633141783796,0.8111207941275879,0.5013265483099707,0.580313234130522
GCN,F50_h0.6_h0.6,data\synthetic\exp13_coverage_gaps\F50_h0.6_h0.6,2,0.6,256,0.01,0.0005,299,0.5582973473164713,0.401692519062743,0.8239299586509052,0.5109281991568899,0.6047934792757066
GCN,F100_h0.4_h0.4,data\synthetic\exp13_coverage_gaps\F100_h0.4_h0.4,0,0.6,256,0.01,0.0005,168,0.24354940213971052,0.10585998814065198,0.6986940242830366,0.21474253257818687,0.32217963626572266
GCN,F100_h0.4_h0.4,data\synthetic\exp13_coverage_gaps\F100_h0.4_h0.4,1,0.6,256,0.01,0.0005,171,0.2573099415204678,0.11771017625071915,0.6974027887824777,0.22097180871447358,0.3185975197039304
GCN,F100_h0.4_h0.4,data\synthetic\exp13_coverage_gaps\F100_h0.4_h0.4,2,0.6,256,0.01,0.0005,151,0.22991508817766165,0.09681490579224876,0.7019542101134414,0.2145136614305752,0.3275069055240914
GCN,F200_h0.2_h0.2,data\synthetic\exp13_coverage_gaps\F200_h0.2_h0.2,0,0.6,256,0.01,0.0005,78,0.19772318753744758,0.06902852201586016,0.7126652767840993,0.20394148193192083,0.24301692920206683
GCN,F200_h0.2_h0.2,data\synthetic\exp13_coverage_gaps\F200_h0.2_h0.2,1,0.6,256,0.01,0.0005,82,0.1855036855036855,0.06411537548890074,0.6920786228025582,0.19842786831545917,0.2350463170093063
GCN,F200_h0.2_h0.2,data\synthetic\exp13_coverage_gaps\F200_h0.2_h0.2,2,0.6,256,0.01,0.0005,71,0.2247857613711272,0.0759568528066934,0.6885620252691759,0.19559437805703542,0.2389911964720065
GCN,F200_h0.6_h0.6,data\synthetic\exp13_coverage_gaps\F200_h0.6_h0.6,0,0.6,256,0.01,0.0005,299,0.3804673457159976,0.28790699450276824,0.7912882630270621,0.40553509518255665,0.5089826127212252
GCN,F200_h0.6_h0.6,data\synthetic\exp13_coverage_gaps\F200_h0.6_h0.6,1,0.6,256,0.01,0.0005,299,0.39004914004914004,0.30313163154263134,0.7846848989534008,0.39194294289138204,0.48943728568823
GCN,F200_h0.6_h0.6,data\synthetic\exp13_coverage_gaps\F200_h0.6_h0.6,2,0.6,256,0.01,0.0005,299,0.4317732366512854,0.3469235034344356,0.7751226666435584,0.3918123718450144,0.49554353424215625
H2GCN,h0.2_lm_mid_h0.2,data\synthetic\exp13_coverage_gaps\h0.2_lm_mid_h0.2,0,0.6,64,0.01,0.0005,271,0.7865926219754066,0.6734104338374712,0.9083907235223497,0.7329317215517506,0.8679555287578749
H2GCN,h0.2_lm_mid_h0.2,data\synthetic\exp13_coverage_gaps\h0.2_lm_mid_h0.2,1,0.6,64,0.01,0.0005,160,0.7443637753152464,0.6254258180695147,0.8849110128382153,0.7028053840506934,0.836874292005486
H2GCN,h0.2_lm_mid_h0.2,data\synthetic\exp13_coverage_gaps\h0.2_lm_mid_h0.2,2,0.6,64,0.01,0.0005,299,0.776268477826608,0.6657223647228554,0.9105395579867513,0.7468800520692356,0.8688909403451989
H2GCN,h0.5_lm_high_h0.5,data\synthetic\exp13_coverage_gaps\h0.5_lm_high_h0.5,0,0.6,64,0.01,0.0005,156,0.8529335745670716,0.7481082145797943,0.9234003682890313,0.7989905866582335,0.9032435410129358
H2GCN,h0.5_lm_high_h0.5,data\synthetic\exp13_coverage_gaps\h0.5_lm_high_h0.5,1,0.6,64,0.01,0.0005,149,0.846923828125,0.7140335916170596,0.907246071998625,0.7736186936474891,0.9009395156037088
H2GCN,h0.5_lm_high_h0.5,data\synthetic\exp13_coverage_gaps\h0.5_lm_high_h0.5,2,0.6,64,0.01,0.0005,209,0.8622291021671826,0.7687533214648897,0.9146022348157382,0.7884949385523973,0.9016632023141092
H2GCN,h0.6_lm_high_h0.6,data\synthetic\exp13_coverage_gaps\h0.6_lm_high_h0.6,0,0.6,64,0.01,0.0005,101,0.8511243215301112,0.7435916852871685,0.8996509911715462,0.7699934596185591,0.8897886275249938
H2GCN,h0.6_lm_high_h0.6,data\synthetic\exp13_coverage_gaps\h0.6_lm_high_h0.6,1,0.6,64,0.01,0.0005,183,0.859130859375,0.7598646358260789,0.8996235472820382,0.7869257738076535,0.8954759564236883
