model,dataset,data_dir,seed,train_percent,hidden,lr,weight_decay,epochs_trained,micro_f1,macro_f1,auc_roc_macro,ap,ap_micro
H2GCN,base_h0.1,data\synthetic\exp2_homophily_sweep\base_h0.1,0,0.6,64,0.01,0.0005,246,0.6469767441860466,0.44036833834390965,0.7189981606959482,0.4343220507617215,0.5870975246964507
H2GCN,base_h0.1,data\synthetic\exp2_homophily_sweep\base_h0.1,1,0.6,64,0.01,0.0005,206,0.6381126889601466,0.4443722452331368,0.7277121930656212,0.4394684962586985,0.567421215042083
H2GCN,base_h0.1,data\synthetic\exp2_homophily_sweep\base_h0.1,2,0.6,64,0.01,0.0005,261,0.6400560224089635,0.44216614558853007,0.7219702983993941,0.44963636278333186,0.5684103088500855
H2GCN,base_h0.2,data\synthetic\exp2_homophily_sweep\base_h0.2,0,0.6,64,0.01,0.0005,208,0.7083720930232558,0.5026761881797006,0.8763986176220205,0.5906501045397861,0.8202229819674011
H2GCN,base_h0.2,data\synthetic\exp2_homophily_sweep\base_h0.2,1,0.6,64,0.01,0.0005,210,0.7210261108566194,0.5359560922040092,0.879741068721809,0.6171371332552025,0.8221882769543676
H2GCN,base_h0.2,data\synthetic\exp2_homophily_sweep\base_h0.2,2,0.6,64,0.01,0.0005,124,0.6718020541549953,0.4528343199072949,0.8448303741907104,0.5379462013782761,0.7422799513982664
H2GCN,base_h0.3,data\synthetic\exp2_homophily_sweep\base_h0.3,0,0.6,64,0.01,0.0005,226,0.7623255813953488,0.5770440942998281,0.8981423107094428,0.6404365343695264,0.8605890227677782
H2GCN,base_h0.3,data\synthetic\exp2_homophily_sweep\base_h0.3,1,0.6,64,0.01,0.0005,207,0.7434722858451672,0.5670973021111229,0.8921266479532296,0.6554294773353411,0.8508073389548286
H2GCN,base_h0.3,data\synthetic\exp2_homophily_sweep\base_h0.3,2,0.6,64,0.01,0.0005,183,0.7488328664799253,0.5623572372886266,0.8887099621442159,0.6384373158393604,0.8453719527351792
H2GCN,base_h0.4,data\synthetic\exp2_homophily_sweep\base_h0.4,0,0.6,64,0.01,0.0005,237,0.773953488372093,0.5900542379912315,0.9089293884285702,0.6749768697060339,0.8751062846194502
H2GCN,base_h0.4,data\synthetic\exp2_homophily_sweep\base_h0.4,1,0.6,64,0.01,0.0005,151,0.7398076042143839,0.566184147846314,0.8914786936900896,0.6562442147156696,0.8469554455996376
H2GCN,base_h0.4,data\synthetic\exp2_homophily_sweep\base_h0.4,2,0.6,64,0.01,0.0005,159,0.7712418300653595,0.5881160909501223,0.8937684513281106,0.6532399979717022,0.8579578379626608
H2GCN,base_h0.5,data\synthetic\exp2_homophily_sweep\base_h0.5,0,0.6,64,0.01,0.0005,115,0.7418604651162791,0.5413183025113907,0.8714768644471855,0.5918878854775861,0.8152844636464049
H2GCN,base_h0.5,data\synthetic\exp2_homophily_sweep\base_h0.5,1,0.6,64,0.01,0.0005,114,0.7311039853412735,0.5566338354826327,0.8718644013566198,0.6105077366000126,0.8108218620098459
H2GCN,base_h0.5,data\synthetic\exp2_homophily_sweep\base_h0.5,2,0.6,64,0.01,0.0005,157,0.7749766573295985,0.6026228518534145,0.8886653299534245,0.6398410910054793,0.8485607012221335
H2GCN,base_h0.6,data\synthetic\exp2_homophily_sweep\base_h0.6,0,0.6,64,0.01,0.0005,125,0.7274418604651163,0.5520188813064548,0.8504012829320612,0.5660905712512708,0.7884759253459467
